Depth,Estimator,Alpha,var,abs,mse,mae,r2
10,800,0,0.5027511905,0.3716513562,0.351865605,0.2014767645,0.5026244088
10,800,0.25,0.5124031397,0.3670190163,0.3415164017,0.1996848503,0.5124029059
10,800,0.5,0.5155841486,0.3557202083,0.3241508307,0.1930718898,0.5153072151
10,800,0.75,0.5046988114,0.3668458168,0.3492190045,0.1966645488,0.5046534078
10,800,1,0.5135592798,0.3589598682,0.3326118792,0.1963766455,0.513541735
10,900,0,0.4909878648,0.3765106744,0.3533280645,0.2142573214,0.4908304129
10,900,0.25,0.5142931671,0.3641753187,0.3374454079,0.2041746369,0.5142806243
10,900,0.5,0.5165118501,0.3625972022,0.3371689905,0.1987096222,0.5165108426
10,900,0.75,0.5089143387,0.3628142508,0.3433749648,0.1967270865,0.5088925768
10,900,1,0.5269799328,0.362572307,0.3326302112,0.1976433336,0.5269732702
10,1000,0,0.5076927959,0.3675808122,0.3400591894,0.2084291577,0.5076654994
10,1000,0.25,0.5172861504,0.3625240282,0.3347448227,0.19703654,0.5172654213
10,1000,0.5,0.5064230816,0.3690264353,0.3507965619,0.1998856499,0.5063812341
10,1000,0.75,0.5143562324,0.3660751514,0.3434772294,0.1985541462,0.5143438022
10,1000,1,0.517450741,0.3620518664,0.3395856302,0.2005327987,0.5174498567
12,1,0,0.0250993497,0.5596793019,0.6637168415,0.4851990938,0.0111367664
12,1,0.25,0.0248423665,0.5717075413,0.6935211584,0.4852606356,0.0051728369
12,1,0.5,0.0255782565,0.5691764573,0.6895789623,0.4851891696,0.0076578032
12,1,0.75,0.0249278405,0.5786732566,0.7235649449,0.485199213,0.0061223993
12,1,1,0.0252747988,0.5642683967,0.6720082725,0.4851726592,0.0096347172
12,100,0,0.4928890718,0.3742269812,0.343627932,0.2125140352,0.4928503257
12,100,0.25,0.4871033041,0.3844922931,0.3730230331,0.2141536287,0.4866750183
12,100,0.5,0.4993115157,0.3709649466,0.3517472835,0.2049847944,0.4990753248
12,100,0.75,0.4930472707,0.3713769579,0.3418481586,0.2091151269,0.4930434092
12,100,1,0.4861803122,0.3753528519,0.358385182,0.2083565722,0.4857072246
12,200,0,0.4784811404,0.3682173988,0.3466763717,0.2066041783,0.4784708796
12,200,0.25,0.5046772837,0.3660968028,0.3444812351,0.1998417267,0.5046338838
12,200,0.5,0.511800172,0.3691285728,0.3475186854,0.2063560633,0.511800145
12,200,0.75,0.5066279402,0.366192933,0.3482420535,0.2015153024,0.5066273221
12,200,1,0.5014943977,0.366185045,0.3464203597,0.2015641496,0.501494188
12,300,0,0.5093467702,0.3646818977,0.3405984159,0.2039921566,0.5092969966
12,300,0.25,0.5077586437,0.3678257445,0.3474239712,0.2006660944,0.5077580874
12,300,0.5,0.5167871869,0.3605467034,0.3372374178,0.1961450401,0.5167863305
12,300,0.75,0.5065887291,0.3713695273,0.3519029747,0.2040895864,0.5065423571
12,300,1,0.5121476297,0.3703068489,0.3551542439,0.2045418795,0.5120491055
12,400,0,0.5073191845,0.3609805768,0.3325708502,0.1966620616,0.50719241
12,400,0.25,0.5124378294,0.3617801647,0.3371198702,0.1995033366,0.5124307323
12,400,0.5,0.5092269858,0.3619073534,0.3362592016,0.197774762,0.5092205837
12,400,0.75,0.5149743164,0.3679749418,0.3513041631,0.2001992855,0.5149520946
12,400,1,0.5035767111,0.3627742886,0.3388261928,0.2003887911,0.5035718468
12,500,0,0.5134179892,0.365544653,0.3377182827,0.2059444929,0.5133210871
12,500,0.25,0.5103859916,0.3708495182,0.3489408514,0.2028339031,0.5103859637
12,500,0.5,0.5134011212,0.3631185441,0.3360767627,0.2040256444,0.5132941057
12,500,0.75,0.5105137497,0.3642765934,0.3422408107,0.2025473996,0.5104150541
12,500,1,0.5073433836,0.3643691546,0.3491320826,0.195975325,0.5073403057
12,600,0,0.5068955456,0.3658251414,0.3486993567,0.2004732669,0.5068850606
12,600,0.25,0.5074370857,0.3588576506,0.3376127754,0.1952430678,0.5073935232
12,600,0.5,0.4986098868,0.3613809525,0.3378380744,0.199124884,0.4983280357
12,600,0.75,0.5146042531,0.363912775,0.3434431399,0.2024296969,0.5146032679
12,600,1,0.5094733649,0.3590844976,0.3310842758,0.2002696766,0.5093595455
12,700,0,0.5127298274,0.369921175,0.3501994189,0.2061411342,0.512728135
12,700,0.25,0.5063647786,0.3657710815,0.3421650123,0.2011176361,0.5063509247
12,700,0.5,0.5052888068,0.3635418266,0.3355357744,0.2039353648,0.5049806627
12,700,0.75,0.5225047259,0.3607514033,0.3357034183,0.1969813668,0.5224954908
12,700,1,0.5050665339,0.3585325133,0.3308359606,0.2008007564,0.5050337887
12,800,0,0.4904356217,0.3629430879,0.3379927605,0.1990735736,0.4899132716
12,800,0.25,0.5054780282,0.3632237979,0.3365967163,0.2005377746,0.5054200278
12,800,0.5,0.5088225265,0.3641203685,0.3366513246,0.20331772,0.5087967431
12,800,0.75,0.5048971326,0.35828976,0.3375873865,0.1936070019,0.5048950464
12,800,1,0.5150814342,0.36058207,0.335352111,0.1970577816,0.5150814341
12,900,0,0.5222096703,0.3691334149,0.3430133109,0.2092737339,0.5222031152
12,900,0.25,0.5128412638,0.3647867117,0.3454048766,0.1997807309,0.5128407351
12,900,0.5,0.5185000175,0.3602236081,0.3375586893,0.194450202,0.5183884839
12,900,0.75,0.4982472689,0.3668827474,0.3454820511,0.2008063346,0.498071158
12,900,1,0.5175341649,0.359454417,0.3408499525,0.1913838256,0.5175133801
12,1000,0,0.517716949,0.3658965169,0.3428267509,0.2067110257,0.5177032255
12,1000,0.25,0.5022292731,0.3662942993,0.3524297266,0.1958843184,0.502223793
12,1000,0.5,0.5071824278,0.3646014238,0.3417743806,0.1998076527,0.5071774069
12,1000,0.75,0.5152680513,0.3604499504,0.3406095972,0.1930671527,0.515252238
12,1000,1,0.5028963575,0.3613443267,0.3377833643,0.1934675318,0.5028901131
